station_id,eva,gtfs_name,db_name,method,score
de:08116:2931_Parent,08004488,Nürtingen,Nürtingen,timetable,1.0
de:08116:5772,08000865,Bempflingen,Bempflingen,timetable,1.0
de:08415:22008_Parent,08004009,Metzingen Bahnhof,Metzingen (Württ),timetable,1.0
de:08415:22006_Parent,08000314,Reutlingen Hauptbahnhof,Reutlingen Hbf,timetable,1.0
de:08111:6085_Parent,08005775,Untertürkheim,Stuttgart-Untertürkheim Pbf,timetable,1.0
de:08136:2416_Parent,08005431,"Schrezheim, Bahnhof",Schrezheim,timetable,1.0
de:08136:5210,08005445,"Rainau-Schwabsberg, Bahnhof",Schwabsberg,timetable,1.0
de:08136:7101_Parent,08004053,"Mögglingen, Bahnhof",Mögglingen (b Gmünd),timetable,1.0
de:08136:6100_Parent,08005979,"Böbingen, Bahnhof",Böbingen (Rems),timetable,1.0
de:08136:7005_Parent,08003752,"Lorch, Bahnhof",Lorch (Württ),timetable,1.0
de:08136:7031_Parent,08006157,"Lorch-Waldhausen, Bahnhof",Waldhausen (b Schorndorf),timetable,1.0
de:08119:5761,08004842,Plüderhausen,Plüderhausen,timetable,1.0
de:08119:5789,08006030,Urbach,Urbach (b Schorndorf),timetable,1.0
de:08136:4609_Parent,08003111,"Jagstzell, Bahnhof",Jagstzell,timetable,1.0
de:08237:7965_Parent,08000101,Eutingen im Gäu Bahnhof,Eutingen im Gäu,timetable,1.0
de:08416:2052_Parent,08001833,Ergenzingen Bahnhof,Ergenzingen,timetable,1.0
de:08115:4510_Parent,08001080,Bondorf,Bondorf (b Herrenberg),timetable,1.0
de:08115:5776_Parent,08002166,Gäufelden,Gäufelden,timetable,1.0
de:08115:4512_Parent,08002785,Herrenberg,Herrenberg,timetable,1.0
de:08325:6596,08004563,Oberndorf (Neckar) Bahnhof,Oberndorf (Neckar),timetable,1.0
de:08325:6590,08005791,Sulz (Neckar) Bahnhof,Sulz (Neckar),timetable,1.0
de:08115:5774,08002165,Gärtringen,Gärtringen,timetable,1.0
de:08237:8006,08001944,Eutingen im Gäu Nord,Eutingen Nord,timetable,1.0
de:08235:9070,08000389,"Hochdorf, Bahnhof",Hochdorf (b Horb),timetable,1.0
de:08237:5022,08002998,Horb Heiligenfeld,Horb-Heiligenfeld,timetable,1.0
de:08237:4322,08001002,Bittelbronn Bahnhof,Bittelbronn,timetable,1.0
de:08237:9604_Parent,08005421,Schopfloch Bahnhof,Schopfloch (b Freudenstadt),timetable,1.0
de:08237:4001,08001512,Dornstetten Bahnhof,Dornstetten,timetable,1.0
de:08237:8009,08001510,Dornstetten Aach,Dornstetten-Aach,timetable,1.0
de:08237:1913,08002445,Grüntal-Wittlensweiler,Grüntal/Wittlensweiler,timetable,1.0
de:08117:160,08002217,Geislingen West,Geislingen West,timetable,1.0
de:08117:153_Parent,08001965,Faurndau,Faurndau,timetable,1.0
de:08117:155,08001731,Eislingen (F),Eislingen (Fils),timetable,1.0
de:08117:156,08005258,Salach,Salach,timetable,1.0
de:08231:2891,08001942,Eutingen,Eutingen (Baden),timetable,1.0
de:08236:2890_Parent,08004425,Niefern Bahnhof,Niefern,timetable,1.0
de:08236:2791_Parent,08001803,Enzberg Bahnhof,Enzberg,timetable,1.0
de:08236:2690_Parent,08004103,Mühlacker Rösslesweg,Mühlacker Rößlesweg,timetable,1.0
de:08236:2590_Parent,08003060,Illingen Bahnhof,Illingen (Württ),timetable,1.0
de:08118:5782,08005540,Sersheim,Sersheim,timetable,1.0
de:08118:5639_Parent,08005253,Sachsenheim,Sachsenheim,timetable,0.989
de:08118:1910_Parent,08001746,Ellental,Ellental,timetable,0.99
de:08236:2790,08004637,Ötisheim Bahnhof,Ötisheim,timetable,1.0
de:08236:2292_Parent,08087080,Maulbronn West,Maulbronn West,timetable,1.0
de:08236:2290,08004632,Ölbronn-Dürrn,Ölbronn-Dürrn,timetable,1.0
de:08236:2390_Parent,08003332,Knittlingen-Kleinvillars,Knittlingen-Kleinvillars,timetable,1.0
de:08215:35081_Parent,08001131,Bretten-Ruit,Bretten-Ruit,timetable,1.0
de:08215:35082_Parent,08001138,Bretten Rechberg,Bretten-Rechberg,timetable,1.0
de:08215:1551_Parent,08000053,Bretten (Baden),Bretten,timetable,1.0
de:08215:1856_Parent,08000055,Bruchsal,Bruchsal,timetable,1.0
de:08126:19602,08004620,Öhringen-Cappel,Öhringen Cappel,timetable,1.0
de:08126:10220_Parent,08004623,Öhringen Hbf,Öhringen Hbf,timetable,1.0
de:08126:10101_Parent,08001178,Bretzfeld,Bretzfeld,timetable,1.0
de:08125:2017_Parent,08006456,Willsbach,Willsbach,timetable,1.0
de:08125:4344_Parent,08006289,Weinsberg,Weinsberg,timetable,1.0
de:08119:5787,08002026,Fornsbach,Fornsbach,timetable,1.0
de:08116:4257_Parent,08006331,Wendlingen (N),Wendlingen (Neckar),timetable,1.0
de:08425:2626_Parent,08003983,Merklingen Bahnhof,Merklingen - Schwäbische Alb,timetable,1.0
de:08426:6350_Parent,08003591,Laupheim ZOB/Stadtbahnhof,Laupheim Stadt,timetable,1.0
de:08315:6740,08089119,Neuenburg (Baden) Bahnhof,Neuenburg (Baden),timetable,1.0
de:08336:6604,08002365,Grenzach Bahnhof,Grenzach,timetable,1.0
de:08336:6605,08006629,Wyhlen Bahnhof,Wyhlen,timetable,1.0
